"SITE","NOME","X","Y","ILLUMINATION","VINES","DM97","DM98","DM99","DM00","DM01","DM02","DM03","DM04","DM05","DM06","DM07","DM08","DM09","INC9597","INC9798","INC9899","INC9900","INC0001","INC0102","INC0203","INC0304","INC0405","INC0506","INC0607","INC0708","INC0809","FRT97","FRT98","FRT99","FRT00","FRT01","FRT02","FRT03","FRT04","FRT05","FRT06","FRT07","FRT08","FRT09"
"MR",30,2552,417,3,0,41.2,42.1,42.3,43.1,43.7,44.2,44.8,45.6,46.1,46.4,47.3,48.4,49.4,0.55,0.85,0.25,0.75,0.6,0.5,0.6,0.85,0.45,0.35,0.85,1.1,1.05,3,4,0,5,2,3,1,0,0,1,0,0,0
"MR",11001,2691,527,2,2,19.3,19.7,20,20.9,21.4,21.4,21.5,21.5,21.7,22.3,22.6,22.7,22.7,NA,0.36,0.3,0.95,0.5,0,0.05,0.05,0.15,0.6,0.35,0.05,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",11002,2683,552,0,0,NA,12.9,13,13.4,13.8,14.2,14.4,14.6,14.8,14.9,14.8,14.8,14.9,NA,NA,0.1,0.4,0.35,0.45,0.15,0.2,0.25,0.05,-0.1,0,0.1,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",11102,2147,608,4,0,NA,NA,11.7,13.5,14.9,15.8,16.7,17.1,17.7,18.3,18.8,19.5,20.2,NA,NA,NA,1.75,1.45,0.85,0.9,0.4,0.6,0.65,0.5,0.7,0.7,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"MR",21,2184,578,2,0,52.2,52.5,52.7,53,53.5,54,54.5,55,55.5,56,56.2,56.4,56.8,0.27,0.3,0.15,0.3,0.55,0.5,0.5,0.5,0.45,0.5,0.2,0.2,0.4,5,9,0,4,3,4,5,0,31,0,0,4,1
"MR",22,2194,535,0,3,45.8,45.8,45.8,45.9,46.1,46.1,46.3,46.5,46.7,47,47.4,47.9,48.8,0,0,0,0.1,0.2,0,0.15,0.25,0.2,0.25,0.4,0.5,0.9,0,9,0,0,0,1,0,0,0,0,1,0,0
"MR",11103,2202,668,NA,NA,NA,NA,NA,29.5,30.2,30.5,30.9,31.3,31.5,32,32.4,33,33.3,NA,NA,NA,NA,0.7,0.3,0.4,0.4,0.15,0.55,0.4,0.55,0.35,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"MR",23,2250,557,3,3,34,34.1,34.2,34.4,34.8,35.1,35.7,36.1,36.5,36.7,36.9,36.9,37.1,0.45,0.1,0.1,0.2,0.35,0.35,0.55,0.4,0.4,0.2,0.25,0,0.15,0,5,0,0,0,0,0,1,0,0,0,0,0
"MR",24,2438,507,4,0,64,64.6,64.9,65.5,66.7,67.7,69.2,70.2,70.5,71.4,71.9,72.2,72.8,0.45,0.65,0.3,0.55,1.25,1,1.5,0.95,0.35,0.9,0.5,0.25,0.6,71,14,0,136,0,7,2,0,17,1,4,32,4
"MR",25,2748,561,4,0,43.6,43.6,43.6,43.7,43.9,44.2,44.5,45.2,45.5,46.7,47.3,47.9,49.4,-0.23,0,0,0.1,0.25,0.25,0.3,0.75,0.25,1.2,0.65,0.6,1.45,0,0,0,0,0,2,1,1,5,0,2,0,2
